2023-06-21 14:30:04.859 [restartedMain] INFO  CMSApplication - Starting CMSApplication using Java 1.8.0_292 on Yunshang-MBP.local with PID 6277 (/Users/yunshang/Documents/GitHub/Panacea/panacea-cms/build/classes/java/main started by yunshang in /Users/yunshang/Documents/GitHub/Panacea)
2023-06-21 14:30:04.860 [restartedMain] INFO  CMSApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-21 14:30:04.918 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-06-21 14:30:04.918 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-06-21 14:30:08.576 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-21 14:30:08.584 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-21 14:30:08.584 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-21 14:30:08.585 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
2023-06-21 14:30:08.625 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/panacea-cms] - Initializing Spring embedded WebApplicationContext
2023-06-21 14:30:08.625 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3706 ms
2023-06-21 14:30:08.740 [restartedMain] WARN  o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the default package. Automatic @Repository and @Entity scanning is not enabled.
2023-06-21 14:30:08.902 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-06-21 14:30:08.913 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-21 14:30:08.928 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path '/panacea-cms'
2023-06-21 14:30:08.939 [restartedMain] INFO  CMSApplication - Started CMSApplication in 4.564 seconds (JVM running for 5.229)
